package,file,row_id,source_move,classification,review_status,source_en,current_ru
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0027_profile,Speed Charge,generic_description,accepted_contextual_collision,"The strongest dragon warrior, wearing armor 
crafted from the super-metal Chrondigizoid, 
WarGreymon is the ultimate form of the Greymon 
species. It sports a more humanoid physique than 
the typical large bodies of other Greymon types, 
but possesses vastly improved power and speed. 
It may be impossible to defeat with the attacks of 
Ultimate-level Digimon. The ""Dramon Killers"" 
attached to WarGreymon's arms deal massive 
damage to Dramon-species Digimon, but also 
expose WarGreymon to danger, making them 
double-edged swords. WarGreymon can also 
combine the exoskeleton parts on its back to form 
the hardest of shields, ""Brave Shield."" It's said that 
even among the most battle-hardened of veterans, 
it's only when one of true valor realizes its own 
destiny that it Digivolves into a WarGreymon. 
WarGreymon's special move is the super dense, 
high temperature energy beam Terra Force, with 
which it concentrates all the energy in the 
atmosphere into a single point before blasting it
forward. It also uses Great Tornado to join the 
Dramon Killers on its arms above its head to 
perform a spinning, high-speed charge that
pierces the enemy.","Самый сильный дракон-воин, носящий броню,
созданную из суперметалла Хромдигизоид,
ВарГреймон — ультиматная форма вида Греймон.
Он имеет более гуманоидное телосложение, чем
типичные крупные тела других типов Греймон, но
обладает значительно улучшенной силой и
скоростью. Победить его атаками дигимонов
ультиматного уровня почти невозможно. «Драконьи
Убийцы», прикрепленные к рукам ВарГреймона,
наносят массивный урон дигимонам вида Драмон,
но также подвергают ВарГреймона опасности,
делая их палкой о двух концах. ВарГреймон
также может комбинировать части экзоскелета на
своей спине, чтобы сформировать самый твердый
щит, «Брэйв Шилд». Говорят, что даже среди
самых опытных ветеранов, только тот, кто
обладает истинной доблестью и осознает свою
собственную судьбу, эволюционирует в
ВарГреймона. Особый приём ВарГреймона
— сверхплотный, высокотемпературный
энергетический луч «Сила Терры», с помощью
которого он концентрирует всю энергию в
атмосфере в одной точке перед тем, как
выстрелить ею вперед. Он также использует
«Великий Торнадо», соединяя Драконьи Убийцы на
своих руках над головой, чтобы выполнить
вращающуюся, высокоскоростную атаку, которая
пронзает врага."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0034_profile,Dark Breath,generic_description,accepted_contextual_collision,"One of the Seven Great Demon Lords, this Evil King
Digimon takes the form of a woman. Believed to
have at one time been an Ophanimon, Lilithmon
fell from grace and became what's known as the
""Goddess of Darkness."" Beguiling and beautiful, it
seduces its foes, with certain death said to await all
who accept its invitation. In keeping with its
""Goddess of Darkness"" moniker, Lilithmon rewards
vice with generosity and virtue with cruel indignities.
The fiendish ""Nazar Nails"" on its right hand corrode
anything they touch. Lilithmon's special move is
Phantom Pain, a dark breath attack that eats away
at foes' bodies. Those afflicted by this curse find
their data eroding, starting with their extremities,
and they suffer painfully even after their inevitable
demise.","Один из Семи Великих Демонических Лордов, этот
дигимон-Король Зла принимает форму женщины.
Считается, что когда-то она была Офанимон,
Лилитмон пала и стала тем, что известно как
«Богиня Тьмы». Соблазнительная и красивая, она
заманивает своих врагов, и, как говорят,
верная смерть ждет всех, кто примет ее
приглашение. В соответствии со своим прозвищем
«Богиня Тьмы», Лилитмон щедро вознаграждает
порок и жестоко унижает добродетель.
Дьявольские «Нейл Нейлз» на ее правой руке
разъедают все, к чему прикасаются. Особый приём Лилитмон — «Фантомная Боль», атака
темным дыханием, которая разъедает тела
врагов. Те, кто поражен этим проклятием,
обнаруживают, что их данные разъедаются,
начиная с конечностей, и они мучаются даже
после неизбежной гибели."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0135_profile,Wolf Claw,longer_move_substring,accepted_contextual_collision,"This final form of Garurumon has been enhanced 
by turning most of its body into metal. Despite this 
process, MetalGarurumon hasn't lost any agility, 
and it can destroy its foes using the countless 
weapons hidden all over its body. The four laser
sights at the tip of its nose emit invisible beams, 
and MetalGarurumon makes use of a wide array 
of sensors, including those for infrared and X-rays, 
to analyze its targets. This makes it impossible to 
escape from MetalGarurumon, even in perfect
darkness. What's more, the mechanical arms 
extending from MetalGarurumon's back can emit
photoelectric beam wings, allowing it to fly through
Net Space at incredible speed. MetalGarurumon's
special move is Freezing Breath, with which it
breathes out a blast of air at absolute zero that
freezes everything it touches. This move instantly
suspends the vital functions of any living creature
it hits. It also possesses Ice Wolf Claw, which
annihilates foes by unleashing every weapon in
MetalGarurumon's arsenal at once.","Эта финальная форма Гарурумона была усилена за
счет превращения большей части его тела в
металл. Несмотря на этот процесс,
МеталГарурумон не потерял ни капли проворства
и может уничтожать своих врагов, используя
бесчисленное оружие, скрытое по всему телу.
Четыре лазерных целеуказателя на кончике его
носа испускают невидимые лучи, и
МеталГарурумон использует широкий множество
датчиков, включая инфракрасные и
рентгеновские, для анализа своих целей. Это
делает невозможным побег от МеталГарурумона,
даже в полной темноте. Более того,
механические руки, выдвигающиеся из спины
МеталГарурумона, могут испускать
фотоэлектрические лучевые крылья, позволяя ему
летать через Сетевое Пространство с
невероятной скоростью. Особый приём
МеталГарурумона — «Леденящее Дыхание», которым он
выдыхает поток воздуха при абсолютном нуле,
который замораживает все, к чему прикасается.
Этот ход мгновенно приостанавливает жизненные
функции любого живого существа, в которое он
попадает. Он также обладает «Коготь Ледяного Волка»,
который уничтожает врагов одновременным
запуском всего оружия в арсенале
МеталГарурумона."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0359_profile,Energy Bomb,generic_description,accepted_contextual_collision,"A Pixie Digimon born from beautiful flower petals. 
At first glance, Lillymon looks like a small child, but 
it's in fact an Ultimate Digimon with immeasurable 
power. Possessed of a mercurial and tomboyish
personality, it's said to open its heart to human girls 
of the same disposition. Lillymon can also be a 
crybaby, and becomes inconsolable once it starts 
sobbing, making this one of the harder Digimon to 
tame. But Lillymon will also offer a helping hand 
to the small and the weak. Able to fly using the four
leaf-like wings on its back, a gentle breeze is said to 
follow in Lillymon's wake. Its special move is Flower 
Cannon, with which it extends both of its arms, turns
the flowers on its wrists into the mouth of a cannon
and fires an energy bomb.","Дигимон-пикси, рожденный из красивых лепестков
цветов. На первый взгляд, Лилимон выглядит как
маленький ребенок, но на самом деле это
дигимон уровня Ультимат с неизмеримой силой.
Обладая изменчивым и сорвиголовским
характером, говорят, что она открывает свое
сердце девочкам с таким же нрав.
Лилимон также может быть плаксой и становится
безутешный, как только начинает рыдать, что
делает ее одним из самых трудных для
приручения дигимонов. Но Лилимон также
протянет руку помощи маленьким и слабым.
Способная летать с помощью четырех
листоподобных крыльев на спине, за Лилимоном,
как говорят, следует нежный ветерок. Ее
особый приём — «Цветочная Пушка», при
котором она протягивает обе руки, превращает
цветы на своих запястьях в жерло пушки и
выстреливает энергетической бомбой."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0379_profile,Deep Forest,title_phrase,accepted_contextual_collision,"Cherrymon is a Digimon further Digivolved from 
Woodmon, gaining a high degree of intelligence 
and power. Known as the ""Lord of the Deep
Forest,"" it's a terrifying Digimon that lures those 
who wander into the depths of the dark forest 
ever farther inside so they can never leave again. 
Its body produces a hallucinogenic mist to lure 
Digimon deep into the forest. It then uses its 
branch-like tentacles and vines to capture its 
enemies and draw nourishment from them. 
Should you ever encounter an old Woodmon, it 
may be best to defeat it before it can Digivolve into
Cherrymon. Cherrymon's special move Cherry 
Bomb makes use of the forbidden fruit growing in 
the thick branches on its head.","Черримон — дигимон, дальнейший
эволюционировавший из Вудмона, обретя высокую
степень интеллекта и силы. Известный как
«Повелитель Глубокого Леса», это ужасающий
дигимон, который заманивает тех, кто забредает
в глубины темного леса, все дальше внутрь,
чтобы они никогда не смогли уйти. Его тело
производит галлюциногенный туман, чтобы
заманить дигимонов глубоко в лес. Затем он
использует свои веткоподобные щупальца и лозы,
чтобы захватить своих врагов и извлекать из
них питание. Если вы когда-нибудь встретите
старого Вудмона, лучше победить его,
прежде чем он сможет эволюционировать в
Черримона. Особый приём Черримона
«Вишневая Бомба» использует запретный плод,
растущий в густых ветвях на его голове."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0395_profile,Fox Tail,longer_move_substring,accepted_contextual_collision,"A Mysterious Beast Digimon in the shape of a giant
fox with nine tails. Kyubimon is feared as a beast
that brings destruction and decay, but in ancient
times it was hailed as a bringer of peace. A Renamon
with particularly strong abilities and a wide range of
experience is said to Digivolve into a Kyubimon.
This Digimon lacks attack power, but possesses
incredible spiritual energy and specializes in spells.
The blue flames burning on its four limbs apparently
allow Kyubimon to gallop through the heavens.
Its signature move Fox Tail Inferno creates and
controls will-o'-the-wisps.","Таинственный зверь-дигимон в форме гигантской
лисы с девятью хвостами. Кюбимона боятся как
зверя, который приносит разрушение и разложение, но
в древние времена его приветствовали как
вестника мира. Говорят, что Ренамон с
особенно сильными способностями и широким
опытом эволюционирует в Кюбимона. Этому
дигимону не хватает силы атаки, но он обладает
невероятной духовной энергией и
специализируется на заклинаниях. Голубые
пламена, горящие на его четырех конечностях,
по-видимому позволяют Кюбимону скакать по
небесам. Его фирменное движение «Инферно лисьего хвоста» создает и контролирует блуждающие
огни."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0422_profile,Infinity Cannon,longer_move_substring,accepted_contextual_collision,"Machinedramon, a Digimon made from the parts of 
countless Cyborg Digimon, possesses unimaginable
powers, and as such was apparently considered a 
successful experiment. Chaosdramon, with its 
crimson metal body, is an even more advanced
version of Machinedramon. Its frame is made from 
Red Digizoid, a rare metal made by re-refining the 
virtual super-metal Chrondigizoid to increase its 
hardness. As a result, it's capable of repelling all 
manner of attacks, and destroying absolutely
anything. Its special move Hyper Infinity Cannon 
fires super-dreadnought class energy blasts from 
both of its cannons.","Машиндрамон, собранный из частей бесчисленных
киборг-дигимонов, обладает невообразимой силой
и считался успешным экспериментом. Хаосдрамон
с багровым металлическим телом - еще более
совершенная версия Машиндрамона. Его каркас сделан
из Красного Дигизоида, редкого металла, полученного
повторной очисткой виртуального сверхметалла
Хромдигизоида для повышения твердости. Благодаря
этому он способен отражать самые разные атаки
и разрушать абсолютно все. Его особый прием
«Гиперпушка бесконечности» выпускает энергетические
залпы класса сверхдредноута из обеих пушек."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0423_profile,Deep Forest,title_phrase,accepted_contextual_collision,"The supreme form of the Kuwagamon species. 
Particularly evil even for an Insectoid Digimon, an 
encounter with GranKuwagamon in the Digital 
World spells doom. Since it normally lives deep 
within the forest and is only active at night, it's also 
known as the ""Demon of the Deep Forest."" It's 
HerculesKabuterimon's greatest rival, and the two 
are locked in an interminable struggle. 
GranKuwagamon's special move is Dimension 
Scissor, which cuts through everything around it, 
including space itself.","Высшая форма вида Кувагамон. ГранКувагамон
выделяется злобой даже среди
дигимонов-насекомых, и встреча с ним в
Цифровом мире почти наверняка означает
гибель. Он живёт в лесной чаще и выходит
лишь ночью, поэтому его называют «Демоном
глухого леса». ГранКувагамон — главный
соперник ГераклКабутеримона; их
бесконечная борьба не прекращается. Особым
приёмом «Пространственные ножницы» он
рассекает всё вокруг — даже само
пространство."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0489_profile,Energy Bomb,generic_description,accepted_contextual_collision,"A final, legendary Digivolution, the end result of 
limitless potential realized through the deepened 
bond of an Agumon and its partner. The fortuitous 
courage of its partner becomes burning flame that 
erupts from its body, emerging as proof of their 
deep faith in each other. Having deepened its 
understanding of humans through this long 
relationship, its Digivolved form takes on an almost
humanoid appearance. Agumon (Bond of Bravery) 
uses its special moves Red Reamer to burn the 
enemy with high-density red lasers from its claw 
tips, and Gaia Brave to unleash the flame of
courage within it as a superheated energy bomb.","Финальная, легендарная эволюция, конечный
результат безграничного потенциала,
реализованного через углубленную связь Агумона
и его партнера. Благоприятное мужество его
партнера становится горящим пламенем, которое
извергается из его тела, появляясь как
доказательство их глубокой веры друг в друга.
Углубив свое понимание людей через эти долгие
отношения, его эволюционная форма принимает
почти гуманоидную внешность. Агумон (Связь
Храбрости) использует свои особые приемы
«Красный риммер», чтобы сжечь врага
высокоплотными красными лазерами с кончиков
своих когтей, и «Гея Храбрая», чтобы
высвободить пламя храбрости внутри него как
перегретую энергетическую бомбу."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0548_profile,Energy Bomb,generic_description,accepted_contextual_collision,"A Mythical Beast Digimon based on mythical creatures 
of legend, with the wings of Pegasus and the horn of 
a unicorn. It travels across the Net in the blink of an 
eye with the large wings on its back, and stabs foes 
with the sharp horn on its forehead. A ""wild"" Unimon 
is as hot-blooded as any untamed horse, but once 
trained, the Tamer can handle it with ease. Its special 
move is Holy Shot, which belches an energy bomb 
from its large mouth.","Дигимон-Мифический Зверь, основанный на
мифических существах легенд, с крыльями Пегаса
и рогом единорога. Он путешествует по Сети в
мгновение ока с большими крыльями на спине и
пронзает врагов острым рогом на лбу. «Дикий» Унимон горяч, как необъезженная
лошадь, но после приручения укротитель легко
может с ним управиться.
Его особое движение — Святой Выстрел, который
извергает энергетическую бомбу из его большого
рта."
